"[0.89743588 0.         0.         0.         0.99999998 0.
 0.         0.         0.88461537 0.         0.         0.
 0.89743588 0.         0.         0.        ]","[0.99999998 0.         0.92771083 0.         0.99999998 0.
 0.         0.         0.89156625 0.         0.         0.
 0.83132529 0.         0.         0.        ]","[0.89473683 0.         0.         0.         0.99999998 0.
 0.         0.         0.80263157 0.         0.         0.
 0.9605263  0.         0.         0.        ]","[0.93055554 0.         0.         0.         0.99999998 0.
 0.         0.         0.81944443 0.         0.         0.
 0.98611109 0.         0.         0.        ]","[0.87356321 0.         0.98850573 0.         0.99999999 0.
 0.         0.         0.8275862  0.         0.         0.
 0.87356321 0.         0.         0.        ]","[0.89999999 0.         0.93749998 0.         0.99999998 0.
 0.         0.         0.72499999 0.         0.         0.
 0.94999998 0.         0.         0.        ]","[0.99999998 0.         0.         0.         0.85135134 0.
 0.         0.         0.82432431 0.         0.         0.
 0.98648647 0.         0.         0.        ]","[0.96969695 0.         0.         0.         0.99999998 0.
 0.         0.         0.96969695 0.         0.         0.
 0.86363635 0.         0.         0.        ]","[0.91666665 0.         0.         0.         0.99999998 0.
 0.         0.         0.76388887 0.         0.         0.
 0.88888887 0.         0.         0.        ]","[0.85937498 0.         0.         0.         0.85937498 0.
 0.         0.         0.79687498 0.         0.         0.
 0.99999998 0.         0.         0.        ]","[0.99999998 0.         0.84126983 0.         0.98412696 0.
 0.         0.         0.85714284 0.         0.9206349  0.
 0.96825395 0.         0.         0.        ]","[0.94366195 0.         0.         0.         0.95774646 0.
 0.         0.         0.97183097 0.         0.         0.
 0.99999998 0.         0.         0.        ]","[0.82499999 0.73749999 0.         0.         0.99999998 0.
 0.         0.72499999 0.0125     0.         0.86249999 0.
 0.91249999 0.         0.         0.        ]","[0.65753423 0.         0.         0.         0.86301368 0.
 0.         0.         0.93150683 0.         0.         0.
 0.99999998 0.         0.         0.        ]","[0.9189189  0.         0.         0.         0.99999998 0.
 0.         0.         0.89189188 0.         0.         0.
 0.97297296 0.         0.         0.        ]","[0.97849461 0.         0.         0.         0.90322579 0.
 0.95698923 0.         0.         0.         0.97849461 0.
 0.99999999 0.         0.         0.        ]"
"[0.62244897 0.54081632 0.36734693 0.37755102 0.         0.5510204
 0.42857142 0.57142856 0.51020407 0.74489795 0.         0.51020407
 0.         0.         0.99999999 0.        ]","[0.98484847 0.         0.96969695 0.         0.90909089 0.
 0.99999998 0.84848483 0.96969695 0.7121212  0.96969695 0.
 0.93939392 0.         0.84848483 0.72727271]","[0.75438595 0.         0.99999998 0.         0.92982454 0.89473682
 0.         0.68421051 0.68421051 0.73684209 0.         0.73684209
 0.54385964 0.68421051 0.         0.71929823]","[0.91935482 0.88709676 0.         0.90322579 0.88709676 0.
 0.95161288 0.99999998 0.         0.90322579 0.88709676 0.
 0.71733867 0.93548385 0.         0.82258063]","[0.88888887 0.         0.61728394 0.         0.79012344 0.
 0.5802469  0.61728394 0.         0.79012344 0.69135801 0.
 0.99999998 0.         0.79012344 0.        ]","[0.80434781 0.         0.99999997 0.         0.82608693 0.86956519
 0.         0.67391303 0.78260868 0.82608693 0.         0.82608693
 0.65217389 0.73913041 0.         0.80434781]","[0.74999999 0.         0.58749999 0.         0.84999999 0.
 0.66249999 0.99999998 0.92499998 0.         0.58749999 0.
 0.76249999 0.         0.59999999 0.        ]","[0.87499998 0.73437498 0.93749998 0.         0.74999999 0.
 0.60937499 0.85937498 0.21874999 0.68749999 0.99999998 0.
 0.74999999 0.85937498 0.93749998 0.        ]","[0.60294117 0.         0.61764705 0.66176469 0.63235293 0.61764705
 0.79411763 0.67647057 0.63235293 0.         0.92647057 0.
 0.67647057 0.         0.99999998 0.80882351]","[0.8235294  0.         0.72058822 0.52941175 0.74999999 0.51470587
 0.85294116 0.7352941  0.99999998 0.         0.85294116 0.
 0.74999999 0.60294117 0.70588234 0.        ]","[0.66233765 0.         0.67532466 0.         0.5064935  0.
 0.76623375 0.6103896  0.76623375 0.55844155 0.88311687 0.
 0.7142857  0.         0.99999998 0.        ]","[0.88461536 0.49999999 0.         0.82692306 0.99999998 0.
 0.94230767 0.84615383 0.73076921 0.59615383 0.84615383 0.
 0.82692306 0.44230768 0.74999998 0.        ]","[0.59374999 0.76562499 0.99999998 0.         0.98437498 0.
 0.76562499 0.74999999 0.78124998 0.         0.85937498 0.
 0.81249998 0.         0.85937498 0.        ]","[0.78947367 0.         0.         0.         0.99999998 0.
 0.         0.01758646 0.99581767 0.         0.81578946 0.
 0.90789472 0.77631578 0.         0.67105262]","[0.98039213 0.         0.96078429 0.         0.98039213 0.
 0.86274508 0.82352939 0.82352939 0.82352939 0.86274508 0.
 0.94117645 0.80392155 0.99999998 0.        ]","[0.73437498 0.         0.90624998 0.         0.96874998 0.
 0.90624998 0.         0.90624998 0.         0.99999998 0.
 0.89062498 0.         0.99999998 0.        ]"
"[0.91489359 0.         0.78723402 0.         0.8723404  0.
 0.8723404  0.         0.85106381 0.         0.91489359 0.
 0.93617019 0.74468083 0.99999997 0.76595743]","[0.74999998 0.         0.91071426 0.         0.94642855 0.
 0.89285712 0.64285713 0.89285712 0.67857141 0.69642856 0.55357142
 0.66071427 0.85714284 0.91071426 0.99999998]","[0.74509802 0.         0.98039213 0.         0.96078429 0.
 0.99999998 0.         0.84313723 0.70588234 0.         0.99999998
 0.84313723 0.94117645 0.         0.90196076]","[0.99999998 0.         0.77272726 0.         0.84848483 0.
 0.75757574 0.         0.43939393 0.         0.7121212  0.
 0.83333332 0.7121212  0.         0.78787877]","[0.99999998 0.         0.93103446 0.         0.87931033 0.
 0.77586205 0.62068964 0.63793102 0.         0.86206895 0.
 0.87931033 0.         0.87931033 0.        ]","[0.77777776 0.         0.82539681 0.         0.99999998 0.
 0.95238093 0.63492062 0.82539681 0.         0.76190475 0.90476189
 0.87301586 0.         0.         0.80952379]","[0.8222222  0.         0.73333331 0.         0.84444442 0.
 0.88888886 0.55555554 0.99999997 0.         0.75555553 0.
 0.9333333  0.         0.9333333  0.        ]","[0.71153844 0.82692306 0.84615383 0.67307691 0.84615383 0.
 0.88461536 0.69230768 0.99999998 0.67307691 0.67307691 0.73076921
 0.65384614 0.         0.80769229 0.69230768]","[0.53999999 0.         0.67999998 0.         0.75999998 0.
 0.71999998 0.85999998 0.49999999 0.         0.95999998 0.
 0.93999998 0.         0.99999997 0.        ]","[0.98039213 0.         0.99999998 0.         0.94117645 0.
 0.9215686  0.         0.80392155 0.         0.88235292 0.
 0.9215686  0.         0.96078429 0.98039213]","[0.78787877 0.         0.86363635 0.         0.99999998 0.
 0.84848483 0.72727271 0.78787877 0.         0.92424241 0.
 0.78787877 0.         0.84848483 0.        ]","[0.80882351 0.         0.         0.99999998 0.77941175 0.
 0.         0.83823528 0.70588234 0.69117646 0.76470587 0.67647057
 0.64705881 0.61764705 0.88235292 0.7352941 ]","[0.85714284 0.         0.92857141 0.         0.99999998 0.
 0.96428569 0.         0.98214283 0.         0.94642855 0.80357141
 0.94642855 0.         0.78571427 0.91071426]","[0.         0.         0.         0.         0.96226413 0.
 0.         0.         0.99999998 0.         0.99999998 0.
 0.98113205 0.75471696 0.64150942 0.81132073]","[0.80701752 0.         0.99999998 0.         0.8596491  0.
 0.8596491  0.         0.68421051 0.         0.80701752 0.
 0.73684209 0.80701752 0.89473682 0.70175437]","[0.86363634 0.         0.79545452 0.         0.84090907 0.
 0.65909089 0.         0.77272725 0.         0.72727271 0.
 0.99999997 0.         0.77272725 0.        ]"
"[0.96103894 0.         0.66233765 0.98701297 0.         0.
 0.67532466 0.80519479 0.         0.49350648 0.8181818  0.66233765
 0.99999998 0.         0.98701297 0.        ]","[0.67164178 0.         0.79104476 0.         0.880597   0.
 0.         0.         0.99999998 0.         0.         0.
 0.91044774 0.         0.         0.        ]","[0.73972601 0.         0.65753423 0.         0.99999998 0.
 0.58904108 0.         0.56164383 0.         0.61643835 0.
 0.63013697 0.         0.67123287 0.        ]","[0.72839505 0.         0.         0.90123455 0.         0.
 0.74074073 0.54320987 0.         0.         0.8765432  0.
 0.91358023 0.         0.         0.99999998]","[0.8235294  0.68235293 0.79999999 0.         0.99999999 0.
 0.8352941  0.         0.79999999 0.67058823 0.8352941  0.
 0.84705881 0.         0.         0.        ]","[0.99999998 0.         0.02739726 0.20547945 0.95890409 0.
 0.53424657 0.06849315 0.98630135 0.         0.43835616 0.
 0.94520546 0.         0.52054794 0.19178082]","[0.76470587 0.         0.         0.         0.99999999 0.
 0.         0.58823528 0.78823528 0.         0.         0.84705881
 0.75294116 0.         0.         0.        ]","[0.52307691 0.33846153 0.         0.6153846  0.99999998 0.58461537
 0.24615384 0.5076923  0.52307691 0.47692307 0.47692307 0.52307691
 0.98461536 0.36923076 0.38461538 0.6153846 ]","[0.         0.         0.         0.91176469 0.         0.
 0.99999998 0.         0.64705881 0.74999999 0.         0.
 0.         0.         0.         0.        ]","[0.6521739  0.         0.92391303 0.73913042 0.58695651 0.92391303
 0.         0.99999999 0.98913042 0.         0.         0.
 0.         0.         0.9347826  0.        ]","[0.88095237 0.         0.8095238  0.         0.86904761 0.
 0.99999998 0.         0.82142856 0.70238094 0.79761904 0.
 0.82142856 0.         0.67857142 0.74999999]","[0.99999998 0.         0.         0.         0.97368419 0.
 0.         0.84210525 0.88157893 0.         0.97368419 0.
 0.         0.68421051 0.93421051 0.        ]","[0.99999998 0.67692306 0.         0.         0.83076921 0.
 0.         0.8153846  0.         0.         0.56923076 0.59999999
 0.         0.         0.         0.        ]","[0.86206895 0.         0.         0.99999998 0.         0.
 0.         0.         0.87931033 0.         0.         0.82758619
 0.75862067 0.84482757 0.         0.        ]","[0.91304346 0.         0.         0.76811593 0.94202897 0.
 0.         0.72463767 0.82608694 0.         0.71014491 0.
 0.99999998 0.         0.         0.        ]","[0.99999999 0.         0.6236559  0.         0.83870966 0.
 0.56989247 0.         0.55913978 0.         0.58064515 0.
 0.87096773 0.         0.01075269 0.        ]"
"[0.         0.99999999 0.         0.95505617 0.         0.93258426
 0.         0.75280898 0.95505617 0.         0.         0.
 0.76404493 0.66292134 0.         0.84269662]","[0.81914893 0.         0.9255319  0.70212765 0.         0.72340425
 0.         0.72340425 0.99999999 0.         0.         0.
 0.88297871 0.         0.75531914 0.        ]","[0.77499999 0.         0.         0.         0.84999999 0.
 0.77499999 0.         0.99999998 0.62499999 0.         0.68749999
 0.66249999 0.57499999 0.         0.63749999]","[0.92499998 0.54999999 0.         0.61249999 0.99999998 0.62499999
 0.48749999 0.48749999 0.61249999 0.         0.76249999 0.
 0.93749998 0.         0.         0.        ]","[0.85185184 0.         0.8765432  0.         0.         0.97530863
 0.         0.80246912 0.83950616 0.86419752 0.99999998 0.76543209
 0.         0.86419752 0.         0.69135801]","[0.85542167 0.73493975 0.90361444 0.         0.99999998 0.
 0.61445782 0.60240963 0.96385541 0.85542167 0.         0.86746987
 0.71084336 0.91566264 0.63855421 0.74698794]","[0.84507041 0.         0.         0.         0.97183097 0.
 0.97183097 0.         0.         0.         0.99999998 0.
 0.73239435 0.91549294 0.         0.        ]","[0.71910111 0.65168538 0.66292134 0.32584269 0.5730337  0.
 0.77528089 0.5730337  0.58426965 0.5730337  0.5730337  0.5730337
 0.83146066 0.         0.99999999 0.        ]","[0.         0.64788731 0.         0.43661971 0.97183097 0.
 0.84507041 0.         0.90140843 0.84507041 0.         0.88732393
 0.         0.99999998 0.         0.94366195]","[0.80487804 0.         0.99999998 0.         0.         0.73170731
 0.48780487 0.         0.76829267 0.         0.80487804 0.63414633
 0.         0.8414634  0.78048779 0.        ]","[0.7977528  0.         0.76404493 0.         0.99999999 0.55056179
 0.48314606 0.         0.68539325 0.62921347 0.         0.59550561
 0.74157302 0.59550561 0.         0.51685392]","[0.80952379 0.68253967 0.73015871 0.84126983 0.88888887 0.85714284
 0.         0.87301586 0.53968253 0.77777776 0.61904761 0.
 0.99999998 0.         0.90476189 0.90476189]","[0.67105262 0.65789473 0.67105262 0.28947368 0.92105262 0.
 0.         0.         0.86842104 0.         0.         0.
 0.99999998 0.         0.         0.        ]","[0.76712327 0.         0.82191779 0.         0.99999998 0.
 0.         0.         0.79452053 0.         0.         0.
 0.83561642 0.         0.         0.        ]","[0.72602738 0.         0.97260272 0.         0.97260272 0.
 0.         0.         0.99999998 0.         0.         0.
 0.87671231 0.         0.         0.        ]","[0.84705881 0.         0.         0.         0.99999999 0.
 0.         0.         0.88235293 0.         0.45882352 0.
 0.69411764 0.         0.67058823 0.        ]"
"[0.46511627 0.02325581 0.30232557 0.48837208 0.16279069 0.3488372
 0.         0.46511627 0.99999997 0.20930232 0.16279069 0.18604651
 0.16279069 0.23255813 0.23255813 0.02325581]","[0.99999998 0.         0.67499999 0.         0.87499999 0.53749999
 0.63749999 0.         0.82499999 0.62499999 0.43749999 0.44999999
 0.93749998 0.         0.58749999 0.        ]","[0.83999999 0.54666666 0.51999999 0.99999998 0.         0.
 0.         0.         0.79999999 0.         0.54666666 0.
 0.98666665 0.         0.37333333 0.        ]","[0.70454544 0.5340909  0.         0.55681817 0.44318181 0.
 0.72727272 0.51136363 0.         0.82954544 0.38636363 0.
 0.97727271 0.46590908 0.         0.99999999]","[0.87837836 0.         0.72972972 0.         0.         0.
 0.62162161 0.55405405 0.68918918 0.         0.99999998 0.
 0.         0.         0.59459458 0.        ]","[0.96103894 0.         0.57142856 0.         0.92207791 0.
 0.         0.54545454 0.64935064 0.48051947 0.53246752 0.
 0.99999998 0.         0.87012986 0.        ]","[0.58823528 0.         0.6117647  0.         0.99999999 0.
 0.79999999 0.         0.42352941 0.         0.84705881 0.
 0.58823528 0.         0.79999999 0.        ]","[0.93749998 0.62499999 0.44999999 0.49999999 0.51249999 0.32499999
 0.56249999 0.59999999 0.99999998 0.62499999 0.46249999 0.54999999
 0.54999999 0.44999999 0.71249999 0.        ]","[0.76190475 0.         0.73015871 0.63492062 0.         0.
 0.         0.         0.87301586 0.99999998 0.69841268 0.
 0.87301586 0.         0.73015871 0.        ]","[0.99999999 0.         0.42268041 0.4742268  0.62886597 0.41237113
 0.50515463 0.48453608 0.97938143 0.         0.4742268  0.
 0.70103092 0.         0.55670102 0.        ]","[0.82812498 0.         0.99999998 0.         0.         0.
 0.78124998 0.64062499 0.71874998 0.49999999 0.53124999 0.
 0.70312499 0.         0.40624999 0.        ]","[0.99999998 0.         0.         0.         0.90410957 0.
 0.         0.         0.57534245 0.57534245 0.52054794 0.
 0.83561642 0.53424657 0.47945205 0.60273972]","[0.99999998 0.51807228 0.         0.91566264 0.         0.
 0.         0.46987951 0.68674698 0.         0.85542167 0.69879517
 0.9759036  0.         0.         0.        ]","[0.85915492 0.         0.         0.         0.99999998 0.
 0.         0.         0.80281689 0.         0.70422534 0.
 0.77464787 0.64788731 0.56338027 0.66197182]","[0.90666665 0.         0.59999999 0.         0.99999998 0.
 0.70666666 0.65333332 0.         0.91999999 0.         0.65333332
 0.71999999 0.         0.         0.        ]","[0.54320987 0.         0.41975308 0.         0.86419752 0.
 0.49382715 0.         0.49382715 0.         0.55555555 0.
 0.99999998 0.         0.48148147 0.        ]"
"[0.78571427 0.99999998 0.         0.74999998 0.82142855 0.74999998
 0.96428569 0.         0.85714284 0.69642856 0.         0.67857141
 0.76785712 0.         0.94642855 0.96428569]","[0.89473682 0.         0.82456138 0.91228068 0.         0.78947367
 0.78947367 0.87719296 0.92982454 0.89473682 0.99999998 0.
 0.80701752 0.         0.75438595 0.77192981]","[0.64285713 0.74999998 0.94642855 0.         0.89285712 0.
 0.73214284 0.76785712 0.66071427 0.74999998 0.99999998 0.
 0.74999998 0.69642856 0.80357141 0.66071427]","[0.73015871 0.7142857  0.         0.69841268 0.73015871 0.
 0.79365078 0.74603173 0.         0.66666665 0.68253967 0.90476189
 0.96825395 0.5079365  0.79365078 0.99999998]","[0.9215686  0.         0.80392155 0.         0.94117645 0.
 0.90196076 0.60784312 0.80392155 0.78431371 0.86274508 0.74509802
 0.99999998 0.         0.84313723 0.        ]","[0.81132073 0.         0.81132073 0.62264149 0.50943395 0.33962263
 0.52830187 0.75471696 0.45283018 0.64150942 0.71698111 0.79245281
 0.99999998 0.         0.84905658 0.66037734]","[0.94642855 0.         0.60714284 0.74999998 0.76785712 0.62499999
 0.74999998 0.7142857  0.99999998 0.         0.78571427 0.
 0.91071426 0.         0.35714285 0.        ]","[0.81666665 0.93333331 0.79999998 0.84999998 0.94999998 0.
 0.99999998 0.61666665 0.58333332 0.83333331 0.61666665 0.73333332
 0.46666666 0.79999998 0.54999999 0.73333332]","[0.76666665 0.         0.76666665 0.66666665 0.71666665 0.
 0.71666665 0.66666665 0.66666665 0.71666665 0.78333332 0.
 0.99999998 0.         0.83333331 0.        ]","[0.84905658 0.86792451 0.81132073 0.9433962  0.83018866 0.77358489
 0.33962263 0.71698111 0.62264149 0.71698111 0.99999998 0.
 0.81132073 0.90566036 0.90566036 0.        ]","[0.99999998 0.         0.77586205 0.79310343 0.72413791 0.
 0.79310343 0.67241378 0.63793102 0.75862067 0.62068964 0.
 0.86206895 0.         0.75862067 0.        ]","[0.9230769  0.         0.         0.         0.99999998 0.
 0.         0.         0.9230769  0.         0.         0.88461536
 0.59615383 0.55769229 0.         0.78846152]","[0.72463767 0.62318839 0.68115941 0.69565216 0.81159419 0.
 0.68115941 0.72463767 0.         0.60869564 0.62318839 0.66666665
 0.99999998 0.         0.         0.        ]","[0.99999998 0.         0.         0.         0.78947367 0.
 0.         0.57894736 0.69736841 0.         0.7236842  0.49999999
 0.59210525 0.63157894 0.60526315 0.63157894]","[0.99999998 0.         0.         0.         0.63636362 0.
 0.66666665 0.68181817 0.62121211 0.66666665 0.72727271 0.78787877
 0.77272726 0.         0.         0.        ]","[0.99999998 0.         0.         0.         0.73846152 0.
 0.79999998 0.         0.         0.         0.63076922 0.
 0.90769229 0.         0.70769229 0.        ]"
"[0.99999998 0.92592591 0.         0.74074073 0.95061727 0.66666666
 0.8148148  0.         0.98765431 0.67901233 0.         0.92592591
 0.80246912 0.93827159 0.71604937 0.        ]","[0.95945944 0.         0.9189189  0.         0.98648647 0.79729728
 0.8108108  0.99999998 0.93243242 0.         0.         0.
 0.         0.         0.56756756 0.94594593]","[0.89855071 0.59420289 0.79710143 0.99999998 0.91304346 0.79710143
 0.         0.59420289 0.68115941 0.50724637 0.         0.79710143
 0.98550723 0.68115941 0.         0.66666665]","[0.66720491 0.45800148 0.         0.5947883  0.48382178 0.
 0.69828271 0.46437724 0.         0.83169732 0.32557646 0.
 0.94169636 0.4289719  0.         0.99999999]","[0.97297296 0.         0.98648647 0.         0.         0.
 0.85135134 0.94594593 0.93243242 0.99999998 0.97297296 0.85135134
 0.9189189  0.90540539 0.95945944 0.        ]","[0.99999998 0.         0.6506024  0.57831324 0.92771083 0.63855421
 0.         0.63855421 0.90361444 0.55421686 0.60240963 0.6506024
 0.85542167 0.71084336 0.57831324 0.86746987]","[0.89552237 0.         0.         0.         0.92537312 0.
 0.         0.89552237 0.99999998 0.         0.         0.
 0.89552237 0.         0.         0.        ]","[0.73999999 0.65999999 0.57999999 0.54999999 0.99999999 0.
 0.50999999 0.56999999 0.46999999 0.57999999 0.39999999 0.57999999
 0.53999999 0.59999999 0.41       0.        ]","[0.87999998 0.91999999 0.99999998 0.         0.         0.
 0.         0.78666665 0.90666665 0.95999998 0.98666665 0.65333332
 0.95999998 0.         0.70666666 0.61333332]","[0.81944443 0.77777776 0.         0.99999998 0.79166665 0.88888887
 0.98611109 0.93055554 0.94444443 0.         0.80555554 0.
 0.         0.74999999 0.90277776 0.95833332]","[0.93055554 0.79166665 0.91666665 0.56944443 0.8611111  0.
 0.         0.74999999 0.90277776 0.99999998 0.98611109 0.
 0.         0.         0.88888887 0.88888887]","[0.99999998 0.         0.         0.         0.93846152 0.
 0.         0.         0.78461537 0.         0.         0.
 0.95384613 0.         0.         0.83076921]","[0.79220778 0.76623375 0.         0.77922077 0.         0.
 0.99999998 0.64935064 0.98701297 0.         0.79220778 0.92207791
 0.79220778 0.         0.         0.        ]","[0.99999998 0.         0.         0.         0.79999999 0.
 0.         0.         0.79999999 0.         0.         0.
 0.95714284 0.62857142 0.         0.68571427]","[0.69047618 0.         0.         0.         0.84523808 0.
 0.         0.49999999 0.82142856 0.         0.         0.83333332
 0.99999998 0.         0.         0.        ]","[0.99999998 0.         0.         0.         0.76712327 0.
 0.97260272 0.         0.         0.         0.94520546 0.
 0.84931505 0.         0.         0.        ]"
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.99999998 0.        ]","[0.96721309 0.         0.91803277 0.         0.93442621 0.
 0.         0.         0.99999998 0.         0.         0.
 0.93442621 0.         0.         0.        ]","[0.         0.         0.         0.         0.99999998 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.         0.         0.         0.99999998 0.
 0.         0.         0.         0.         0.         0.
 0.69491524 0.64406778 0.         0.96610168]","[0.98113205 0.         0.         0.         0.         0.
 0.         0.         0.99999998 0.         0.         0.
 0.         0.         0.         0.        ]","[0.99999998 0.         0.85937498 0.         0.93749998 0.
 0.         0.         0.79687498 0.71874998 0.         0.92187498
 0.92187498 0.         0.         0.        ]","[0.74999998 0.         0.70833331 0.         0.89583331 0.
 0.         0.97916664 0.60416665 0.         0.41666666 0.
 0.99999997 0.         0.         0.        ]","[0.         0.         0.         0.         0.99999998 0.
 0.         0.         0.         0.         0.         0.
 0.98148146 0.         0.         0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.99999998 0.         0.68627449 0.         0.68627449 0.
 0.60784312 0.         0.86274508 0.         0.70588234 0.
 0.80392155 0.         0.99999998 0.82352939]","[0.         0.         0.         0.         0.92982454 0.
 0.         0.         0.         0.         0.         0.
 0.99999998 0.         0.         0.        ]","[0.85714284 0.         0.         0.         0.92857141 0.
 0.         0.         0.99999998 0.         0.         0.
 0.91071426 0.         0.         0.        ]","[0.97560973 0.         0.80487802 0.         0.99999997 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.68292681]","[0.96491226 0.         0.         0.         0.99999998 0.
 0.         0.         0.82456138 0.         0.         0.
 0.91228068 0.54385964 0.52631578 0.        ]","[0.99999997 0.         0.         0.         0.93617019 0.
 0.         0.         0.99999997 0.         0.         0.
 0.70212764 0.         0.         0.        ]","[0.86440676 0.         0.88135591 0.         0.91525422 0.
 0.99999998 0.         0.         0.         0.93220337 0.
 0.93220337 0.         0.         0.        ]"
"[0.86075948 0.         0.         0.9620253  0.99999998 0.
 0.         0.         0.91139239 0.         0.         0.
 0.74683543 0.69620252 0.69620252 0.        ]","[0.78504672 0.         0.71028037 0.         0.75700934 0.
 0.         0.         0.80373831 0.57009345 0.42056074 0.
 0.73831775 0.99999999 0.         0.        ]","[0.56451612 0.         0.         0.99999999 0.79032257 0.
 0.         0.         0.6532258  0.         0.         0.
 0.49193548 0.         0.         0.        ]","[0.84615383 0.         0.99999999 0.8131868  0.92307691 0.
 0.         0.78021977 0.73626373 0.         0.         0.29670329
 0.6043956  0.69230768 0.01098901 0.76923076]","[0.75555555 0.         0.         0.         0.95555554 0.
 0.         0.         0.99999999 0.         0.         0.
 0.98888888 0.         0.         0.        ]","[0.97826086 0.         0.78260868 0.         0.74999999 0.
 0.         0.         0.98913042 0.         0.         0.
 0.99999999 0.         0.         0.        ]","[0.97560974 0.         0.         0.         0.91463413 0.
 0.78048779 0.99999998 0.8414634  0.         0.         0.75609755
 0.96341462 0.         0.         0.        ]","[0.71604937 0.         0.         0.         0.99999998 0.
 0.         0.51851851 0.98765431 0.         0.         0.
 0.96296295 0.         0.         0.51851851]","[0.65432098 0.         0.66666666 0.         0.91358023 0.
 0.99999998 0.         0.71604937 0.         0.62962962 0.90123455
 0.85185184 0.         0.76543209 0.        ]","[0.8235294  0.59999999 0.64705881 0.8235294  0.8352941  0.94117646
 0.79999999 0.6117647  0.79999999 0.79999999 0.85882352 0.97647057
 0.99999999 0.         0.68235293 0.54117646]","[0.71052631 0.46491228 0.79824561 0.71052631 0.         0.65789473
 0.83333332 0.61403508 0.42105263 0.51754385 0.78070175 0.99999999
 0.85087718 0.         0.77192982 0.65789473]","[0.78350514 0.         0.         0.99999999 0.91752576 0.
 0.         0.84536081 0.93814432 0.         0.         0.
 0.84536081 0.         0.85567009 0.83505154]","[0.57831324 0.         0.87951806 0.         0.99999998 0.
 0.         0.         0.74698794 0.66265059 0.         0.84337348
 0.87951806 0.         0.         0.        ]","[0.99999998 0.         0.         0.         0.88235292 0.
 0.         0.         0.86764704 0.         0.         0.
 0.85294116 0.         0.         0.        ]","[0.77165354 0.         0.         0.48031496 0.74015747 0.
 0.         0.67716535 0.63779527 0.         0.         0.83464566
 0.99999999 0.         0.         0.81102361]","[0.72222221 0.         0.         0.         0.73333332 0.74444443
 0.84444443 0.         0.         0.69999999 0.99999999 0.
 0.72222221 0.         0.         0.        ]"
