group1,group2,meandiff,p-adj,lower,upper,reject
1,15,0.1948,0.0,0.0581,0.3315,True
1,17,0.1477,0.0158,0.011,0.2845,True
1,2,0.254,0.0,0.1172,0.3907,True
1,20,0.1533,0.0084,0.0165,0.29,True
1,29,0.2614,0.0,0.1246,0.3981,True
1,3,0.2534,0.0,0.1166,0.3901,True
1,30,0.2836,-0.0,0.1469,0.4204,True
1,31,0.1714,0.0008,0.0347,0.3082,True
1,32,0.219,0.0,0.0822,0.3557,True
1,33,0.1893,0.0001,0.0526,0.3261,True
1,34,0.2291,0.0,0.0923,0.3658,True
1,5,0.1733,0.0006,0.0366,0.3101,True
1,7,0.2809,-0.0,0.1441,0.4176,True
1,8,0.2254,0.0,0.0887,0.3622,True
10,24,-0.1535,0.0082,-0.2902,-0.0167,True
10,30,0.1582,0.0046,0.0215,0.295,True
10,7,0.1554,0.0065,0.0187,0.2922,True
10,9,-0.1652,0.0019,-0.302,-0.0285,True
11,2,0.1546,0.0072,0.0178,0.2913,True
11,29,0.162,0.0029,0.0252,0.2987,True
11,3,0.154,0.0077,0.0172,0.2907,True
11,30,0.1842,0.0001,0.0475,0.321,True
11,7,0.1815,0.0002,0.0447,0.3182,True
11,9,-0.1392,0.0392,-0.2759,-0.0025,True
12,15,0.1726,0.0007,0.0359,0.3093,True
12,2,0.2318,0.0,0.095,0.3685,True
12,29,0.2392,0.0,0.1024,0.3759,True
12,3,0.2312,0.0,0.0944,0.3679,True
12,30,0.2614,0.0,0.1247,0.3982,True
12,31,0.1492,0.0134,0.0125,0.286,True
12,32,0.1968,0.0,0.06,0.3335,True
12,33,0.1671,0.0015,0.0304,0.3039,True
12,34,0.2069,0.0,0.0701,0.3436,True
12,5,0.1511,0.0108,0.0144,0.2879,True
12,7,0.2586,0.0,0.1219,0.3954,True
12,8,0.2032,0.0,0.0665,0.34,True
13,2,0.1678,0.0014,0.0311,0.3045,True
13,29,0.1752,0.0005,0.0384,0.3119,True
13,3,0.1672,0.0015,0.0305,0.3039,True
13,30,0.1975,0.0,0.0607,0.3342,True
13,34,0.1429,0.0267,0.0062,0.2796,True
13,7,0.1947,0.0,0.0579,0.3314,True
13,8,0.1392,0.039,0.0025,0.276,True
14,21,-0.142,0.0294,-0.2787,-0.0052,True
14,24,-0.1603,0.0036,-0.297,-0.0236,True
14,25,-0.1376,0.0459,-0.2744,-0.0009,True
14,30,0.1514,0.0104,0.0147,0.2881,True
14,36,-0.1378,0.0452,-0.2745,-0.001,True
14,7,0.1486,0.0143,0.0119,0.2854,True
14,9,-0.172,0.0008,-0.3088,-0.0353,True
15,21,-0.2046,0.0,-0.3413,-0.0678,True
15,24,-0.2229,0.0,-0.3596,-0.0861,True
15,25,-0.2002,0.0,-0.3369,-0.0635,True
15,26,-0.1701,0.001,-0.3068,-0.0333,True
15,35,-0.1431,0.026,-0.2799,-0.0064,True
15,36,-0.2004,0.0,-0.3371,-0.0636,True
15,37,-0.1446,0.0223,-0.2814,-0.0079,True
15,9,-0.2346,0.0,-0.3713,-0.0979,True
16,2,0.1743,0.0006,0.0376,0.3111,True
16,29,0.1817,0.0002,0.045,0.3185,True
16,3,0.1737,0.0006,0.037,0.3105,True
16,30,0.204,0.0,0.0672,0.3407,True
16,32,0.1393,0.0386,0.0026,0.2761,True
16,34,0.1494,0.0131,0.0127,0.2862,True
16,7,0.2012,0.0,0.0645,0.3379,True
16,8,0.1458,0.0197,0.009,0.2825,True
17,21,-0.1575,0.0051,-0.2942,-0.0207,True
17,24,-0.1758,0.0005,-0.3125,-0.0391,True
17,25,-0.1531,0.0085,-0.2899,-0.0164,True
17,36,-0.1533,0.0084,-0.29,-0.0165,True
17,9,-0.1875,0.0001,-0.3243,-0.0508,True
18,2,0.1443,0.0231,0.0075,0.281,True
18,24,-0.1378,0.0452,-0.2745,-0.001,True
18,29,0.1517,0.0101,0.0149,0.2884,True
18,3,0.1437,0.0246,0.0069,0.2804,True
18,30,0.1739,0.0006,0.0372,0.3107,True
18,7,0.1712,0.0009,0.0344,0.3079,True
18,9,-0.1495,0.013,-0.2862,-0.0128,True
19,2,0.1754,0.0005,0.0386,0.3121,True
19,29,0.1828,0.0002,0.046,0.3195,True
19,3,0.1748,0.0005,0.038,0.3115,True
19,30,0.205,0.0,0.0683,0.3418,True
19,32,0.1404,0.0347,0.0037,0.2771,True
19,34,0.1505,0.0116,0.0137,0.2872,True
19,7,0.2023,0.0,0.0655,0.339,True
19,8,0.1468,0.0175,0.0101,0.2836,True
2,21,-0.2637,0.0,-0.4005,-0.127,True
2,22,-0.1453,0.0206,-0.2821,-0.0086,True
2,23,-0.1946,0.0,-0.3313,-0.0578,True
2,24,-0.282,-0.0,-0.4188,-0.1453,True
2,25,-0.2594,0.0,-0.3961,-0.1226,True
2,26,-0.2292,0.0,-0.366,-0.0925,True
2,27,-0.1909,0.0,-0.3277,-0.0542,True
2,28,-0.1847,0.0001,-0.3214,-0.048,True
2,35,-0.2023,0.0,-0.3391,-0.0656,True
2,36,-0.2595,0.0,-0.3963,-0.1228,True
2,37,-0.2038,0.0,-0.3405,-0.067,True
2,4,-0.1418,0.03,-0.2785,-0.0051,True
2,9,-0.2938,-0.0,-0.4305,-0.157,True
20,21,-0.163,0.0025,-0.2998,-0.0263,True
20,24,-0.1813,0.0002,-0.3181,-0.0446,True
20,25,-0.1587,0.0044,-0.2954,-0.0219,True
20,36,-0.1588,0.0043,-0.2956,-0.0221,True
20,9,-0.1931,0.0,-0.3298,-0.0563,True
21,29,0.2711,0.0,0.1344,0.4078,True
21,3,0.2631,0.0,0.1264,0.3999,True
21,30,0.2934,-0.0,0.1566,0.4301,True
21,31,0.1812,0.0002,0.0445,0.3179,True
21,32,0.2287,0.0,0.092,0.3655,True
21,33,0.1991,0.0,0.0623,0.3358,True
21,34,0.2388,0.0,0.1021,0.3756,True
21,5,0.1831,0.0002,0.0463,0.3198,True
21,6,0.1395,0.0379,0.0028,0.2763,True
21,7,0.2906,-0.0,0.1539,0.4273,True
21,8,0.2352,0.0,0.0984,0.3719,True
22,29,0.1527,0.0089,0.016,0.2895,True
22,3,0.1447,0.022,0.008,0.2815,True
22,30,0.175,0.0005,0.0383,0.3117,True
22,7,0.1722,0.0007,0.0355,0.309,True
22,9,-0.1484,0.0146,-0.2852,-0.0117,True
23,29,0.202,0.0,0.0652,0.3387,True
23,3,0.194,0.0,0.0572,0.3307,True
23,30,0.2242,0.0,0.0875,0.361,True
23,32,0.1596,0.0039,0.0228,0.2963,True
23,34,0.1697,0.0011,0.0329,0.3064,True
23,7,0.2215,0.0,0.0847,0.3582,True
23,8,0.166,0.0017,0.0293,0.3028,True
24,29,0.2894,-0.0,0.1527,0.4262,True
24,3,0.2814,-0.0,0.1447,0.4182,True
24,30,0.3117,-0.0,0.175,0.4484,True
24,31,0.1995,0.0,0.0628,0.3363,True
24,32,0.2471,0.0,0.1103,0.3838,True
24,33,0.2174,0.0,0.0806,0.3541,True
24,34,0.2571,0.0,0.1204,0.3939,True
24,4,0.1402,0.0353,0.0035,0.277,True
24,5,0.2014,0.0,0.0647,0.3381,True
24,6,0.1579,0.0048,0.0211,0.2946,True
24,7,0.3089,-0.0,0.1722,0.4457,True
24,8,0.2535,0.0,0.1167,0.3902,True
25,29,0.2668,0.0,0.13,0.4035,True
25,3,0.2588,0.0,0.122,0.3955,True
25,30,0.289,-0.0,0.1523,0.4258,True
25,31,0.1768,0.0004,0.0401,0.3136,True
